caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-EJ-5502-01,2957.4149,964.9235,1073.5385,442.0918,952.1261
TCGA-HC-7209-01,1504.4367,988.7727,954.2509,354.2393,522.6481
TCGA-HC-7748-01,2833.2791,883.1581,1134.0607,212.1272,892.4155
TCGA-J4-A83N-01,1095.9041,1144.8551,669.6104,188.8112,1181.3187
TCGA-2A-A8VV-01,2228.6528,1326.7443,756.3243,196.2584,1014.237
TCGA-2A-A8VT-01,1430.5147,986.7647,761.2794,284.9265,565.4412
TCGA-EJ-5499-01,2512.0824,1273.3141,1166.2985,287.1849,960.3071
TCGA-FC-7708-01,3439.142,1044.6526,1068.9684,373.5071,835.5848
TCGA-KC-A4BV-01,2787.107,621.8331,1083.3267,247.7782,496.6176
TCGA-EJ-7321-01,812.6155,1251.8016,839.3387,145.8245,957.6092
TCGA-EJ-8469-01,1195.8014,1157.2012,1355.7429,158.4216,1052.6591
TCGA-HC-7077-01,536.5873,889.889,1061.4356,209.2031,1113.9908
TCGA-HC-8257-01,2200.6042,1436.858,708.4471,198.5901,1222.9607
TCGA-HC-8260-01,2316.8766,1224.1814,1182.1694,239.9244,1425.3778
TCGA-J4-8198-01,2256.7251,1230.2247,632.3884,158.5103,898.1225
TCGA-KC-A4BN-01,1063.6742,987.0625,788.5278,648.7812,1053.5204
TCGA-KK-A6DY-01,1444.6778,1381.1436,1228.8468,304.8384,1232.7405
TCGA-KK-A6E2-01,447.8768,1222.7109,870.7957,113.9544,961.6154
TCGA-KK-A8I5-01,3731.9083,1314.6646,864.2162,288.2707,1072.0234
TCGA-VP-A875-01,718.7664,1012.7737,908.7591,97.8102,788.3212
TCGA-VP-A87C-01,2991.1325,1213.1886,981.921,386.6476,643.0473
TCGA-2A-A8VL-01,1787.0082,1105.0463,826.2307,236.3543,1011.3285
TCGA-CH-5739-01,3350.9539,960.6518,680.7234,234.4992,732.5119
TCGA-CH-5740-01,1065.2341,1192.9394,1065.1911,207.5211,515.7329
TCGA-CH-5741-01,1186.5583,1055.1747,624.5854,217.0909,1324.6138
TCGA-CH-5743-01,1934.1457,1253.7107,1175.7784,530.5488,909.2164
TCGA-CH-5744-01,1968.0999,1041.6089,741.9787,289.4129,1237.4018
TCGA-CH-5746-01,1098.0925,1086.8253,990.7945,247.7372,921.5555
TCGA-CH-5752-01,2626.0477,1091.5538,902.6273,198.5816,822.695
TCGA-CH-5754-01,3702.4937,1239.4642,1280.1829,439.0722,1143.4172
TCGA-CH-5764-01,1483.8368,1145.3446,815.6973,212.7651,824.9742
TCGA-CH-5765-01,1725.3744,1106.3681,760.3954,134.7096,1063.331
TCGA-CH-5766-01,1424.8671,1047.2903,1280.7491,223.6797,911.9779
TCGA-CH-5768-01,903.9594,959.235,851.8519,150.6599,984.5135
TCGA-CH-5769-01,2601.1274,1275.1762,1162.4512,221.6051,1049.3095
TCGA-CH-5789-01,2496.3145,880.561,1182.0853,414.3005,1012.99
TCGA-CH-5790-01,956.3496,1068.9573,794.5263,180.6075,905.2137
TCGA-CH-5791-01,1868.0724,681.5786,1063.3709,292.9192,1013.8196
TCGA-CH-5794-01,1440.4944,1049.7528,1104.4747,250.618,1398.9493
TCGA-EJ-5495-01,4398.5704,966.0426,1132.1339,301.8073,635.3837
TCGA-EJ-5496-01,1092.2366,1042.6245,870.4502,140.8046,941.5709
TCGA-EJ-5497-01,2252.7814,955.5062,1048.6436,182.5889,846.1231
TCGA-EJ-5498-01,4443.3065,1000,1007.9368,295.284,760.9861
TCGA-EJ-5503-01,2775.0143,918.2898,1268.7625,274.5843,1281.4727
TCGA-EJ-5506-01,753.9038,1047.7564,1978.3365,152.2436,980.1282
TCGA-EJ-5507-01,1599.5492,1243.426,906.1683,242.6747,1127.7235
TCGA-EJ-5508-01,3410.3504,1149.3144,1011.4728,253.936,827.8314
TCGA-EJ-5512-01,1841.3484,1102.5496,783.8584,164.3059,918.4136
TCGA-EJ-5516-01,3987.2714,725.6468,1017.579,213.3504,752.4752
TCGA-EJ-5521-01,2195.1856,874.42,999.8666,439.3852,1541.7633
TCGA-EJ-5522-01,1756.5838,1209.5793,1178.3488,212.2255,692.7759
TCGA-EJ-5524-01,2645.4929,901.9644,912.8765,177.4417,505.0263
TCGA-EJ-5525-01,2166.9805,1384.8085,1225.9761,173.258,827.3697
TCGA-EJ-5526-01,1901.6975,1243.7369,1236.6385,152.4927,826.1416
TCGA-EJ-5527-01,2967.4856,1065.6549,1158.447,210.0413,920.6586
TCGA-EJ-5530-01,1913.3187,950.7524,960.8564,173.461,941.9973
TCGA-EJ-5542-01,2553.509,1010.9583,954.8768,193.052,848.6827
TCGA-EJ-7314-01,1689.8731,640.7346,929.8831,278.798,1110.1836
TCGA-EJ-7315-01,5001.9653,1058.9595,787.5058,447.9769,1303.4682
TCGA-EJ-7327-01,1862.4347,1006.3752,1182.4378,188.5246,913.1755
TCGA-EJ-7328-01,4128.6727,1302.1096,1067.9762,519.2288,740.4865
TCGA-EJ-7783-01,3704.7807,1035.7824,1099.5743,246.2806,686.9612
TCGA-EJ-7784-01,759.0006,1009.2822,928.8088,137.6856,878.7129
TCGA-EJ-7785-01,3376.6972,950.0416,1052.6034,359.9778,676.6583
TCGA-EJ-7793-01,1746.4945,974.3691,845.9661,195.5836,1019.7161
