caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-2A-A8VL-01,1787.01,1105.05,826.231,236.354,1011.33
TCGA-2A-A8VO-01,2580.73,1241.51,677.914,309.049,1265.44
TCGA-2A-A8VT-01,1430.51,986.765,761.279,284.926,565.441
TCGA-2A-A8VV-01,2228.65,1326.74,756.324,196.258,1014.24
TCGA-2A-A8VX-01,1417.62,1479.78,842.892,198.01,828.82
TCGA-2A-A8W1-01,243.9,1270.69,503.312,458.505,676.662
TCGA-2A-A8W3-01,2102.94,1195.26,771.016,208.546,916.786
TCGA-2A-AAYF-01,1400.47,1140.07,784.283,243.209,1474.96
TCGA-2A-AAYO-01,1738.86,1281.59,822.066,328.264,1328.26
TCGA-2A-AAYU-01,3336.5,1146.42,929.742,159.543,1284.81
TCGA-4L-AA1F-01,8526.62,1321.35,2327.06,585.968,1052.84
TCGA-CH-5737-01,2835.58,854.524,955.931,296.134,1168.59
TCGA-CH-5738-01,1635.93,914.497,909.302,376.303,910.508
TCGA-CH-5739-01,3350.95,960.651999999999,680.723,234.499,732.512
TCGA-CH-5740-01,1065.23,1192.94,1065.19,207.521,515.733
TCGA-CH-5741-01,1186.56,1055.17,624.585,217.091,1324.61
TCGA-CH-5743-01,1934.15,1253.71,1175.78,530.549,909.216
TCGA-CH-5744-01,1968.1,1041.61,741.979,289.413,1237.4
TCGA-CH-5745-01,2306.1,1022.96,1310.37,280.285,897.862
TCGA-CH-5746-01,1098.09,1086.83,990.794,247.737,921.556
TCGA-CH-5748-01,1384.49,934.112,944.12,193.495,965.387999999999
TCGA-CH-5750-01,1296.39,939.662,1094.62,130.775,534.373
TCGA-CH-5751-01,3036.74,1161.99,1251.45,201.973,613.707
TCGA-CH-5752-01,2626.05,1091.55,902.626999999999,198.582,822.695
TCGA-CH-5753-01,548.594,1200.84,1112.76,211.668,835.143
TCGA-CH-5754-01,3702.49,1239.46,1280.18,439.072,1143.42
TCGA-CH-5761-01,3008.16,1359.41,980,400.427,1306.14
TCGA-CH-5762-01,2088.11,810.556,966.98,251.099,850.427
TCGA-CH-5763-01,4237.4,1117.59,1387.74,343.66,844.409
TCGA-CH-5764-01,1483.84,1145.34,815.697,212.765,824.974
TCGA-CH-5765-01,1725.37,1106.37,760.395,134.71,1063.33
TCGA-CH-5766-01,1424.87,1047.29,1280.75,223.68,911.978000000001
TCGA-CH-5767-01,1840.43,795.352,735.757,203.523,1130.06
TCGA-CH-5768-01,903.959,959.234999999999,851.852,150.66,984.513999999999
TCGA-CH-5769-01,2601.13,1275.18,1162.45,221.605,1049.31
TCGA-CH-5771-01,6042.24,944.187,1223.1,437.471,1154.47
TCGA-CH-5772-01,1871.91,1286.17,1112.21,237.154,950.198
TCGA-CH-5788-01,787.229,562.049,1066.38,119.769,1123.38
